file_name,cells_num,MAE,IOU,Cells area error %
BG-11-225-02-25-20-23-24,38,6,0.964,0.17
BG-11-225-02-25-20-23-32,30,1,0.978,0.084
BG-11-225-02-25-20-23-39,36,1,0.974,0.119
BG-11-225-02-25-20-23-44,32,3,0.98,0.07
BG-11-225-02-25-20-23-59,35,3,0.923,2.074
BG-11-225-02-25-20-24-05,32,12,0.974,0.093
BG-11-225-02-25-20-24-10,31,10,0.968,0.295
BG-11-225-02-25-20-24-16,49,8,0.941,0.811
BG-11-225-02-25-20-24-25,39,0,0.965,0.097
BG-11-225-02-25-20-25-16,35,4,0.962,0.05
BG-11-225-02-25-20-25-24,27,25,0.969,0.342
BG-11-225-02-25-20-25-36,40,22,0.96,0.035
BG-11-225-02-25-20-25-52,33,6,0.968,0.129
BG-11-225-02-25-20-26-20,25,19,0.973,0.311
BG-11-225-02-25-20-26-28,35,6,0.969,0.032
BG-11-225-02-25-20-26-37,33,4,0.962,0.871
BG-11-225-02-25-20-26-42,29,1,0.976,0.711
BG-11-225-02-25-20-26-48,35,1,0.964,0.277
BG-11-225-02-25-20-26-59,33,7,0.973,0.231
BG-11-225-02-25-20-27-05,34,5,0.971,0.267
BG-11-225-02-25-20-27-12,33,5,0.967,0.438
BG-11-225-02-25-20-27-21,38,4,0.965,0.454
BG-11-225-02-25-20-27-34,30,1,0.962,0.816
BG-11-225-02-25-20-27-42,27,10,0.983,0.005
BG-11-225-02-25-20-27-49,30,5,0.956,1.14
BG-11-225-02-25-20-27-56,26,13,0.977,0.186
BG-11-225-02-25-20-28-03,45,7,0.966,0.188
BG-11-225-02-25-20-28-10,26,10,0.979,0.257
BG-11-225-02-25-20-28-18,27,1,0.972,0.541
BG-11-225-02-25-20-28-27,24,10,0.974,0.919
BG-11-225-02-25-20-28-40,45,9,0.967,0.323
BG-11-225-02-25-20-28-45,33,7,0.973,0.581
BG-11-225-02-25-20-29-08,33,3,0.957,0.808
BG-11-225-02-25-20-29-19,34,1,0.977,0.331
BG-11-225-02-25-20-29-23,31,7,0.966,0.095
BG-11-225-02-25-20-29-30,32,44,0.955,0.936
BG-11-225-02-25-20-29-41,27,74,0.912,2.655
BG-11-225-02-25-20-29-50,30,47,0.866,3.086
BG-11-225-02-25-20-29-54,31,36,0.916,1.414
BG-11-225-02-25-20-30-03,39,77,0.882,1.57
BG-11-225-02-25-20-30-07,40,67,0.909,0.894
BG-11-225-02-25-20-30-16,27,25,0.955,0.493
BG-11-225-02-25-20-30-23,25,31,0.893,0.989
BG-1125-02-25-19-51-59,30,49,0.903,5.766
BG-1125-02-25-19-52-16,39,39,0.886,4.275
BG-1125-02-25-19-52-22,30,26,0.923,3.599
BG-1125-02-25-19-52-36,15,62,0.887,15.907
BG-1125-02-25-19-52-51,27,26,0.958,2.403
BG-1125-02-25-19-53-01,20,30,0.95,2.915
BG-1125-02-25-19-53-13,30,52,0.934,2.011
BG-1125-02-25-19-53-43,32,37,0.956,1.306
BG-1125-02-25-20-00-34,26,24,0.923,3.553
BG-1125-02-25-20-00-41,45,7,0.935,1.915
BG-1125-02-25-20-00-48,42,19,0.913,3.207
BG-1125-02-25-20-00-53,47,18,0.892,3.396
BG-1125-02-25-20-00-57,40,14,0.91,3.268
BG-1125-02-25-20-01-02,25,37,0.893,4.614
BG-1125-02-25-20-01-08,27,18,0.884,5.406
BG-1125-02-25-20-01-19,28,39,0.864,6.7
BG-1125-02-25-20-01-32,25,72,0.796,12.12
BG-1125-02-25-20-01-39,31,65,0.839,9.93
BG-1125-02-25-20-01-44,29,49,0.856,6.859
BG-1125-02-25-20-01-50,30,43,0.871,4.1
BG-1125-02-25-20-01-57,35,66,0.81,7.731
BG-1125-02-25-20-02-03,35,30,0.883,4.357
BG-1125-02-25-20-02-10,26,51,0.894,5.011
BG-1125-02-25-20-02-16,28,47,0.891,5.282
BG-1125-02-25-20-02-21,42,23,0.916,2.222
BG-1125-02-25-20-02-26,43,74,0.906,2.994
BG-1125-02-25-20-02-31,33,106,0.906,3.335
BG-1125-02-25-20-02-36,51,34,0.911,2.107
BG-1125-02-25-20-02-43,47,48,0.92,1.671
BG-1125-02-25-20-02-58,34,19,0.921,2.753
BG-1125-02-25-20-03-03,35,21,0.901,4.226
BG-1125-02-25-20-03-10,31,13,0.928,3.083
BG-1125-02-25-20-03-15,25,25,0.918,4.867
BG-1125-02-25-20-03-22,37,43,0.881,4.176
BG-1125-02-25-20-03-29,33,32,0.895,4.835
